tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
303,2017-10-21 18:05:20,2017-10-21 18:10:23,3435,Grand St & Elizabeth St,40.718822,-73.99596,3427,Lafayette St & Jersey St,40.724305272503322,-73.996009826660156,27695,Subscriber,1997,female,""
255,2017-07-13 17:22:56,2017-07-13 17:27:11,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,390,Duffield St & Willoughby St,40.69221589,-73.9842844,21166,Subscriber,1998,male,""
1415,2018-02-10 12:21:40.571,2018-02-10 12:45:15.705,530,11 Ave & W 59 St,40.771522,-73.990541,509,9 Ave & W 22 St,40.7454973,-74.00197139,21542,Subscriber,1996,female,""
1008,2015-10-07 22:51:20,2015-10-07 23:08:08,3231,E 67 St & Park Ave,40.767800801481322,-73.965920805931091,507,E 25 St & 2 Ave,40.73912601,-73.97973776,17405,Subscriber,1997,male,""
365,2018-03-06 19:03:04.660,2018-03-06 19:09:10.178,3226,W 82 St & Central Park West,40.78275,-73.97137,3167,Amsterdam Ave & W 73 St,40.779668090073123,-73.980930447578416,32694,Subscriber,1950,male,""
698,2017-09-28 08:34:24,2017-09-28 08:46:03,474,5 Ave & E 29 St,40.7451677,-73.98683077,335,Washington Pl & Broadway,40.72903917,-73.99404649,14551,Subscriber,1997,female,""
145,2018-05-05 23:00:12.193,2018-05-05 23:02:37.552,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,28351,Subscriber,2000,male,""
204,2014-03-11 13:37:45,2014-03-11 13:41:09,403,E 2 St & 2 Ave,40.72502876,-73.99069656,229,Great Jones St,40.72743423,-73.99379025,17470,Subscriber,1948,female,""
373,2015-09-10 15:57:16,2015-09-10 16:03:30,503,E 20 St & Park Ave,40.73827428,-73.98751968,253,W 13 St & 5 Ave,40.73543934,-73.99453948,21663,Subscriber,1998,male,""
800,2017-06-26 23:14:44,2017-06-26 23:28:05,3453,Devoe St & Lorimer St,40.713352262228753,-73.9491033554077,389,Broadway & Berry St,40.71044554,-73.96525063,14900,Customer,1996,male,""
150,2016-07-08 18:16:01,2016-07-08 18:18:31,2012,E 27 St & 1 Ave,40.739445,-73.976806,545,E 23 St & 1 Ave,40.736502,-73.97809472,25950,Subscriber,1996,male,""
376,2013-08-16 18:36:36,2013-08-16 18:42:52,128,MacDougal St & Prince St,40.72710258,-74.00297088,127,Barrow St & Hudson St,40.73172428,-74.00674436,19567,Subscriber,1948,male,""
1534,2017-07-29 14:30:21,2017-07-29 14:55:55,3151,E 81 St & York Ave,40.7728384,-73.94989233,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,17700,Subscriber,1950,male,""
421,2017-11-03 12:14:06,2017-11-03 12:21:08,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,403,E 2 St & 2 Ave,40.72502876,-73.99069656,30932,Subscriber,1949,male,""
455,2015-09-25 09:37:20,2015-09-25 09:44:56,434,9 Ave & W 18 St,40.74317449,-74.00366443,497,E 17 St & Broadway,40.73704984,-73.99009296,22482,Subscriber,1941,female,""
814,2016-05-11 16:54:43,2016-05-11 17:08:18,500,Broadway & W 51 St,40.76228826,-73.98336183,509,9 Ave & W 22 St,40.7454973,-74.00197139,21157,Subscriber,1999,female,""
1174,2017-11-02 07:29:08,2017-11-02 07:48:43,430,York St & Jay St,40.7014851,-73.98656928,376,John St & William St,40.70862144,-74.00722156,30358,Subscriber,1997,female,""
351,2013-08-08 13:07:27,2013-08-08 13:13:18,308,St James Pl & Oliver St,40.71307916,-73.99851193,340,Madison St & Clinton St,40.71269042,-73.98776323,16433,Subscriber,1947,male,""
448,2018-05-07 16:02:05.596,2018-05-07 16:09:34.283,3244,University Pl & E 8 St,40.73143724085228,-73.994903415441513,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,32120,Subscriber,1998,male,""
1319,2016-03-10 17:25:03,2016-03-10 17:47:02,484,W 44 St & 5 Ave,40.75500254,-73.98014437,3156,E 72 St & York Ave,40.76663814,-73.95348296,21448,Subscriber,1952,male,""
